Account,2023,2022,2021,2020,2019,2018,2017,2016
dettes_sur_immobilisations_et_comptes_rattaches,1020154,730829,652934,1274324,2043204,676167,711991,338555
disponibilites,74661966,85680665,87433948,56817973,40089775,33499003,29977304,22872169
dont_reserve_reglementee_des_plusvalues_a_long_terme,0,0,0,0,0,0,0,10543140
ecarts_de_conversion_actif,0,0,396,9718,37379,1193,0,775
ecarts_de_reevaluation,1016995,1129637,412427,2775,0,2767,152767,0
emprunts_et_dettes_assimilees,175496,582703,549505,792536,287647,135914,754812,601728
emprunts_et_dettes_aupres_des_etablissements_de_credit,91512246,106694754,129667166,102045421,70441238,75601176,54941628,44016008
emprunts_et_dettes_financieres_divers,50664604,67346736,57697550,50300651,39093017,18834508,11087855,10882944
emprunts_obligataires_convertibles,1388379,1075490,1078523,1075990,445988,450840,3000,3000
emprunts_participatifs,30097529,8367621,3404780,19896481,18628841,8413252,864859,0
en_cours_de_production_de_biens,8907,1334,10392,13019,617,60331,27990,32862
en_cours_de_production_de_services,7366414,6686288,1219283,1078766,998641,977724,970215,724305
fonds_commercial,11412339,11926627,12181527,7901686,6073299,3935423,3293423,3289589
fournisseurs_et_comptes_rattaches,256462,272273,306262,173586,154869,382737,381119,372865
frais_de_developpement_ou_de_recherche_et_developpement,62819,86374,99760,104608,117519,47276,0,91182
frais_detablissement,547252,657422,750155,852744,462037,336639,352966,356033
immobilisations_corporelles,955409,1051930,587947,601297,976626,945615,1650524,2842690
immobilisations_en_cours,4048443,2065917,39609142,46418118,45305216,48592040,50780193,1144466
immobilisations_financieres,22005,24598,24598,9834,25194,5050,22824,16800
immobilisations_incorporelles__autres,0,16426,16963,17944,15769,0,25296,103250
immobilisations_incorporelles__fonds_commercial,0,0,0,0,0,250000,0,40000
installations_techniques_materiel_et_outillage_industriels,22682766,27962100,26067315,21771486,16476932,13797149,13445406,13731392
marchandises,4277371,3846077,3248498,1873461,3640287,2414660,1877226,1229039
matieres_premieres_approvisionnements,1043217,853071,1301307,990413,234863,267731,248598,156236
matieres_premieres_approvisionnements_en_cours_de_production,0,1239,0,0,0,0,0,0
participations_evaluees__mise_en_equivalence,32839,143508,337577,52251,20005,20000,0,16080
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
parts_a_plus_dun_an,0,0,0,0,0,0,0,0
prets,173796,214441,321907,169050,8031515,273691,300103,78268
primes_de_remboursement_des_obligations,0,0,0,0,0,0,0,0
primes_demission_de_fusion_dapport,10752070,17458414,15467139,13848665,8519284,2244601,330610,2230428
produits_constates_davance,25303851,26306835,13285248,7922264,8658488,7201330,5056399,5283179
produits_intermediaires_et_finis,21926,0,0,0,0,0,0,3716
provisions_pour_charges,8432918,8396392,6755957,6074004,5745763,5193534,3805406,8358965
provisions_pour_risques,2704862,2010363,1947239,1100593,638096,1123874,1157050,679905
provisions_pour_risques_et_charges__total_ii,50436,74300,74300,90000,0,0,0,140000
provisions_reglementees,528551,454639,388738,97374,66341,46769,128816,1378
report_a_nouveau,-8991501,-17097457,-19541259,-6961969,-4756289,-2224173,-6810909,-6479024
reserve_legale,1564687,1260481,1156700,957551,735767,583664,437609,432437
reserves_reglementees,1417608,652925,648304,570599,423010,330307,53506,0
reserves_statutaires_ou_contractuelles,884178,1038255,991961,1189744,668985,635403,551586,905276
resultat_de_lexercice,241096,305588,162724,168056,-5667,155995,-183419,193031
resultat_de_lexercice_benefice_ou_perte,18687089,25558174,18977796,-8162477,3840432,3175475,8405504,1647577
stock_marchandises,664364,534074,444170,0,0,0,1075,20672
subventions_dinvestissement,8571513,42106550,21673106,18937685,17993265,17595649,18445434,19750661
terrains,11742520,11373047,10858843,6905187,5472205,6185263,2186779,337488
total_actif_circulant__charges_constatees_davance,1327382,1712741,3166328,1516644,725431,375561,2157967,1326303
total_actif_immobilise,977414,1092954,629506,629075,1017589,1200665,1698644,3002740
total_des_capitaux_propres__total_i,634686,504454,261740,408862,169093,94740,1961001,751640
total_des_dettes,1619673,2226941,3459794,1646859,1573928,1481485,1895608,3437401
total_general__actif,522694986,495249191,438675026,320265974,264032729,215083879,175637821,150963252
total_general__passif,522694985,495249191,438672521,320265974,264032729,215083619,175637771,150963252
total_general_actif,2304795,2805695,3795834,2145719,1743018,1576226,3856609,4329045
total_general_passif,2304795,2805695,3795834,2145719,1743018,1576226,3856609,4329045
total_i__capital_social,189365598,145053251,104760469,72240963,69343079,50416778,40905006,33647113
total_i__immobilisations,290137927,283574279,258465841,201336857,162429526,124752476,106767380,94617808
total_ii__actif_circulant,231672901,211350924,180152676,118880276,101353178,89930205,68870378,56329670
total_ii__capital_social,26364413,24020400,19673570,7002366,5797459,5246546,5246546,5247089
total_iii__provisions,11137780,10406755,8703194,7174596,6383859,6317408,4962456,9038862
total_iv__dettes,295808579,315760889,305535274,233848062,182508323,153102881,118641497,96960256
valeurs_mobilieres_de_placement,29181475,23380442,6837010,3013051,1682271,3332666,2917990,2788521
Number of Active Sources,206,206,206,154,128,106,97,80
