SIREN,Libellé,2023,2022,2021,2020,2019,2018,2017,2016
840873558,total_actif_circulant_charges_constatees_davance,0,110701,112329,158493,68329,0,0,0
840873558,total_general_actif,0,349663,361276,453403,392989,0,0,0
840873558,capital_social_ou_individuel,0,10000,10000,10000,10000,0,0,0
840873558,resultat_de_lexercice,0,53481,-53312,-29170,-120072,0,0,0
840873558,total_des_capitaux_propres_total_i,0,-139073,-192553,-139242,-110072,0,0,0
840873558,emprunts_et_dettes_assimilees,0,271866,326932,364271,312955,0,0,0
840873558,avances_et_acomptes_recus_sur_commandes_en_cours,0,20406,0,4952,5024,0,0,0
840873558,fournisseurs_et_comptes_rattaches,0,36495,69163,39124,20819,0,0,0
840873558,autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,154418,0,0,0
840873558,autres_dettes,0,159968,157734,184298,164263,0,0,0
840873558,total_des_dettes,0,488735,553829,592645,503061,0,0,0
840873558,total_general_passif,0,349663,361276,453403,392989,0,0,0
840873558,report_a_nouveau,0,-202553,-149242,-120072,0,0,0,0
840873558,avances_et_acomptes_verses_sur_commandes,0,1462,0,0,0,0,0,0
483005831,concessions_brevets_et_droits_similaires,30000,30000,30000,30000,30000,0,0,0
483005831,installations_techniques_materiel_et_outillage_industriels,6624,2011,2974,3132,1093,0,0,0
483005831,autres_immobilisations_corporelles,111145,115770,119945,100784,99480,0,0,0
483005831,total_i_immobilisations,147769,147791,152919,133916,130573,0,0,0
483005831,matieres_premieres_approvisionnements,0,0,0,900,1300,0,0,0
483005831,autres_creances,1768,1399,2790,3894,1993,0,0,0
483005831,disponibilites,140563,117759,83674,74024,61952,0,0,0
483005831,total_ii_actif_circulant,142331,119159,86464,78818,65244,0,0,0
483005831,total_general_actif,290100,266940,239383,212734,195817,0,0,0
483005831,capital_social_ou_individuel,10000,10000,10000,10000,10000,0,0,0
483005831,reserve_legale,1000,1000,1000,1000,965,0,0,0
483005831,report_a_nouveau,28675,30522,24643,23753,20582,0,0,0
483005831,resultat_de_lexercice_benefice_ou_perte,14482,-1847,5879,890,3206,0,0,0
483005831,total_i_capital_social,54157,39675,41522,35643,34753,0,0,0
483005831,emprunts_et_dettes_financieres_divers,1457,331,994,4345,5506,0,0,0
483005831,dettes_fournisseurs_et_comptes_rattaches,0,11164,12064,8936,10321,0,0,0
483005831,dettes_fiscales_et_sociales,67853,80770,67803,64810,64237,0,0,0
483005831,autres_dettes,0,135000,117000,99000,81000,0,0,0
483005831,total_iv_dettes,235943,227265,197861,177091,161065,0,0,0
483005831,total_general_passif,290100,266940,239383,212734,195817,0,0,0
483005831,avances_et_acomptes_recus_sur_commandes_en_cours,13633,0,0,0,0,0,0,0
483005831,dettes_sur_immobilisations_et_comptes_rattaches,153000,0,0,0,0,0,0,0
