name;categorie;sous-categorie
VRV_SAINT QUENTIN;;
VRV_EURL CSB TRAITEUR;Fournisseurs;Achat courant
VRV_BRETIGNY FD;;
VRV_HENIN BOWL;;
VRV_SOCOTEC;;
VRV_ARCOM METAL;CAPEX;
VRV_GROUPE PERIN SECURIT;;
VRV_KB TRAITEUR;Fournisseurs;Achat courant
VRV_BI PLANS H;CAPEX;
VRV_HERSAND SARL;;
VRV_SMEF AZUR F;CAPEX;
VRV_CHR CONSULT;Fournisseurs;Achat courant
VRV_ALPES CONTROLES;CAPEX;
VRV_CLAUDE MESTRIE FA;;
VRV_CENTRE DES FINANCES;Fournisseurs;Achat courant
VRV_BTB GCC VTE;;
VRV_MISTIGRIM LAURE ENJELVIN;;
VRV_MAISON COLAS FA;;
VRV_ME EVENTS;;
VRV_ELIS FRANCE;;
VRV_GAMES FACTORY;Fournisseurs;Achat courant
VRV_GF;Fournisseurs;Achat courant
VRV_AVISTA;CAPEX;
VRV_SASU LES DELICES;Fournisseurs;Achat courant
VRV_DESAUTEL;;
VRV_PUBLISTICK;;
VRV_PRO D CLIM;Fournisseurs;Achat courant
VRV_PROMO SOL;CAPEX;
VRV_EASING GLOBAL SERVICES;CAPEX;Easing
VRV_ALLIANCE-PC;Fournisseurs;Achat courant
VRV_PRISON ISLAND AB;Fournisseurs;Achat courant
VRV_SAMSIC;Fournisseurs;Achat courant
VRV_FUCHEY;;
VRV_GAMES FACTORY MACON;Fournisseurs;Achat courant
VRV_ENGIE SOLUTIONS;CAPEX;
VRV_BRUNET;;
VRV_ALEOTECH;;
VRV_MAZARS;Fournisseurs;Achat courant
VRV_ENTERTAINMENT LT;;
VRV_GF BEAUNE;Fournisseurs;Achat courant
VRV_SASU SPEEDPARK HOLDI;;
VRV_V2G PAYSAGES;;
VRV_FABFORT HOLDING;;
VRV_ENOGAT INVEST SAS;Salaires;n.a
VRV_COPALISS FD;CAPEX;
VRV_VALCKE GROUP;Fournisseurs;Achat courant
VRV_METZ KART INDOOR;;
VRV_BCH;;
VRV_BWA AGENCE BUSINESS;;
VRV_SCI SAMUEL;Loyer;
VRV_LTP;CAPEX;
VRV_VM GROUPE;;
VRV_OTIUM MANAGEMENT;Loyer;
VRV_SOCOTEC CONSTRUCTION;;
VRV_LEISURE TECHNOLOGIES;CAPEX;
VRV_XPLASE IN-EAR;CAPEX;
VRV_GF PARK;;
VRV_PIZZA KING;;
VRV_BOWLING MEDIA;CAPEX;
VRV_GUYONNET-PELLETIER-BEJO;;
VRV_MENUISERIE LAMBERT NICOLAS;;
VRV_OIKOGESTION;Loyer;
VRV_D S I;;
VRV_QUBICAAMF WORLDWIDE;CAPEX;
VRV_MEDIAKEYS FRANCE;Fournisseurs;Achat courant
VRV_VINCI FACILITIES LOI;;
VRV_ESPACE EXPANSION;Loyer;
VRV_ETS DANIEL;CAPEX;
VRV_SAVANT GOUT;Fournisseurs;Achat courant
VRV_PLEYCE;Fournisseurs;Achat courant
VRV_TRIVEC;;
VRV_CCE COMPTABILITE CONSEIL;;
VRV_SEPUR;;
VRV_ATC GROUPE;;
VRV_SEP SERVICES EUROPEE;Fournisseurs;Achat courant
VRV_OUVRAGES ECO;CAPEX;
VRV_AMCC;;
VRV_ANIM JEUX;;
VRV_SOCOTEC EQUIPEMENTS;;
VRV_CICEKLI PRIMEUR;;
VRV_ALLIANCE PC;;
VRV_EARL DE LA;;
VRV_SARL ATELIER MET;;
VRV_WURTH;;
VRV_AAI;CAPEX;
VRV_HOME SALON IMMO;CAPEX;
VRV_ECOLAB PEST FRANCE;;
VRV_VINCI FACILITIES;;
VRV_HEQA;;
VRV_INGELLIPSE;;
VRV_COPALISS;CAPEX;
VRV_AXIGNIS;;
VRV_MAGNER;;
VRV_SAS PBY;;
VRV_BOUBANETT NETTOYAGE;;
VRV_CONTROLE FORMATION;;
VRV_KOBATEX;;
VRV_SF HOLDING;;
VRV_MK AUTO;;
VRV_S A R;;
VRV_RADIO;;
VRV_USINE A GAZ;;
VRV_DISTRI CLEAN;;
VRV_LA COMPAGNIE DES;;
VRV_AM DEPANNAGE INFORMA;;
VRV_SAS BEAUVAIS FD;;
VRV_BC WELCOM;;
VRV_GANGLOFF BRASSERIE ARTIS;;
VRV_PROKARTING;;
